,Mean_temp (K),datetime
186,243.68892136784942,2019-04-09 07:00:00
187,243.66631331387185,2019-04-09 07:10:00
188,243.6427111727391,2019-04-09 07:20:00
189,243.62486720453083,2019-04-09 07:30:00
190,243.60144188208776,2019-04-09 07:40:00
191,243.56718885344952,2019-04-09 07:50:00
192,243.53954080742008,2019-04-09 08:00:00
193,243.5119536723376,2019-04-09 08:10:00
194,243.4796104909844,2019-04-09 08:20:00
195,243.44659244630932,2019-04-09 08:30:00
196,243.4200587335916,2019-04-09 08:40:00
197,243.3564738619772,2019-04-09 08:50:00
198,243.36369889213776,2019-04-09 09:00:00
199,243.4239813231026,2019-04-09 09:10:00
200,243.38535845455968,2019-04-09 09:20:00
201,243.35472371088196,2019-04-09 09:30:00
202,243.31502915710456,2019-04-09 09:40:00
203,243.2897704808343,2019-04-09 09:50:00
204,243.25923514024558,2019-04-09 10:00:00
205,243.22149075083232,2019-04-09 10:10:00
206,243.1871438683328,2019-04-09 10:20:00
207,243.56559076390982,2019-04-09 10:30:00
208,243.81386599764144,2019-04-09 10:40:00
209,244.08400790742775,2019-04-09 10:50:00
210,244.53999247345402,2019-04-09 11:00:00
211,244.9322995781534,2019-04-09 11:10:00
212,245.4320556224766,2019-04-09 11:20:00
213,246.0181217087129,2019-04-09 11:30:00
214,246.28768180600207,2019-04-09 11:40:00
215,246.63245587974026,2019-04-09 11:50:00
216,246.84203472847184,2019-04-09 12:00:00
217,246.4669711536324,2019-04-09 12:10:00
218,269.3832684246956,2019-04-09 12:20:00
219,262.3599203274599,2019-04-09 12:30:00
220,236.43173391026147,2019-04-09 12:40:00
221,231.0231359979137,2019-04-09 12:50:00
222,218.5827377794561,2019-04-09 13:00:00
223,225.75865660728354,2019-04-09 13:10:00
224,224.00795711291008,2019-04-09 13:20:00
225,254.13712855452331,2019-04-09 13:30:00
226,264.48586374975025,2019-04-09 13:40:00
227,238.89827880693082,2019-04-09 13:50:00
228,244.32249599004865,2019-04-09 14:00:00
229,240.1614122381621,2019-04-09 14:10:00
230,240.88117885902923,2019-04-09 14:20:00
231,240.8430489668816,2019-04-09 14:30:00
232,240.66570848986905,2019-04-09 14:40:00
233,240.74630705449434,2019-04-09 14:50:00
234,240.94991705738533,2019-04-09 15:00:00
235,241.13037972611832,2019-04-09 15:10:00
236,241.0940299873201,2019-04-09 15:20:00
237,241.24659530652957,2019-04-09 15:30:00
238,241.38338200274814,2019-04-09 15:40:00
239,241.49878102091802,2019-04-09 15:50:00
240,241.59444577414627,2019-04-09 16:00:00
241,241.66083417030114,2019-04-09 16:10:00
242,241.780293363155,2019-04-09 16:20:00
243,241.86686599882043,2019-04-09 16:30:00
244,242.0894399293688,2019-04-09 16:40:00
245,242.31255678802466,2019-04-09 16:50:00
246,242.47897390249855,2019-04-09 17:00:00
247,242.5636762165681,2019-04-09 17:10:00
248,242.61583329510387,2019-04-09 17:20:00
249,242.6494868138837,2019-04-09 17:30:00
250,242.67292040635755,2019-04-09 17:40:00
251,242.6693317808332,2019-04-09 17:50:00
252,242.68297287352215,2019-04-09 18:00:00
253,242.68013147320636,2019-04-09 18:10:00
254,242.66993117469218,2019-04-09 18:20:00
255,242.6713404833619,2019-04-09 18:30:00
256,242.6627768558752,2019-04-09 18:40:00
257,242.65189288325698,2019-04-09 18:50:00
258,242.6863931903505,2019-04-09 19:00:00
259,242.67967038148456,2019-04-09 19:10:00
260,242.67826851133842,2019-04-09 19:20:00
261,242.66879900059175,2019-04-09 19:30:00
262,242.67013364046662,2019-04-09 19:40:00
263,242.6611417715341,2019-04-09 19:50:00
264,242.65811693339862,2019-04-09 20:00:00
265,242.64931116027924,2019-04-09 20:10:00
266,242.6421265849547,2019-04-09 20:20:00
267,242.63080919264652,2019-04-09 20:30:00
268,242.6185065926501,2019-04-09 20:40:00
269,242.60499476701983,2019-04-09 20:50:00
270,242.59303900404828,2019-04-09 21:00:00
271,242.45945763405564,2019-04-09 21:10:00
272,242.4592176195021,2019-04-09 21:20:00
273,242.45212391918443,2019-04-09 21:30:00
274,242.45118003067105,2019-04-09 21:40:00
275,242.45347918505863,2019-04-09 21:50:00
276,242.44944001190467,2019-04-09 22:00:00
277,242.4484092504245,2019-04-09 22:10:00
278,242.44188577966915,2019-04-09 22:20:00
279,242.45675433154202,2019-04-09 22:30:00
280,242.42511853471726,2019-04-09 22:40:00
281,242.44492454307556,2019-04-09 22:50:00
282,242.4175256411607,2019-04-09 23:00:00
283,242.41954733697682,2019-04-09 23:10:00
284,242.40372643603558,2019-04-09 23:20:00
285,242.38944205468715,2019-04-09 23:30:00
286,242.37312102935238,2019-04-09 23:40:00
287,242.36343058058117,2019-04-09 23:50:00
288,242.3571538666486,2019-04-10 00:00:00
289,242.3430269545873,2019-04-10 00:10:00
290,242.33327694247555,2019-04-10 00:20:00
291,242.30470329664985,2019-04-10 00:30:00
292,242.2889449315568,2019-04-10 00:40:00
293,242.27064435353972,2019-04-10 00:50:00
294,242.24762780977176,2019-04-10 01:00:00
295,242.2371650521857,2019-04-10 01:10:00
296,242.23125203397663,2019-04-10 01:20:00
297,242.19145682637858,2019-04-10 01:30:00
298,242.18371351107055,2019-04-10 01:40:00
299,242.1614238028227,2019-04-10 01:50:00
300,242.1404877678056,2019-04-10 02:00:00
301,242.11669723019463,2019-04-10 02:10:00
302,242.0937189889046,2019-04-10 02:20:00
303,242.07321541762403,2019-04-10 02:30:00
304,242.042223465582,2019-04-10 02:40:00
305,242.02452913216752,2019-04-10 02:50:00
306,241.99849808598572,2019-04-10 03:00:00
307,241.9666500035442,2019-04-10 03:10:00
308,241.94381475435858,2019-04-10 03:20:00
309,241.93272540181445,2019-04-10 03:30:00
310,241.90789211968732,2019-04-10 03:40:00
311,241.8946699867384,2019-04-10 03:50:00
312,241.8710819506627,2019-04-10 04:00:00
313,241.8675916770824,2019-04-10 04:10:00
314,241.84458733946542,2019-04-10 04:20:00
315,241.83106460000488,2019-04-10 04:30:00
316,241.80003703458453,2019-04-10 04:40:00
317,241.762627212685,2019-04-10 04:50:00
318,241.73494933112252,2019-04-10 05:00:00
319,241.70360316884648,2019-04-10 05:10:00
320,241.6743287271838,2019-04-10 05:20:00
321,241.64851049584027,2019-04-10 05:30:00
322,241.63296332225585,2019-04-10 05:40:00
323,241.6009617170627,2019-04-10 05:50:00
324,241.57131968153274,2019-04-10 06:00:00
325,241.5503456772493,2019-04-10 06:10:00
326,241.51317232556752,2019-04-10 06:20:00
327,241.48332455609298,2019-04-10 06:30:00
328,241.43603137500762,2019-04-10 06:40:00
329,241.4086765803372,2019-04-10 06:50:00
330,241.36087856576663,2019-04-10 07:00:00
331,241.3157145332327,2019-04-10 07:10:00
332,241.27664742085256,2019-04-10 07:20:00
333,241.23586186989223,2019-04-10 07:30:00
334,241.18976073224118,2019-04-10 07:40:00
335,241.14010302073163,2019-04-10 07:50:00
336,241.0944624379659,2019-04-10 08:00:00
337,241.0454451187548,2019-04-10 08:10:00
338,240.99544589879127,2019-04-10 08:20:00
339,240.94536768076364,2019-04-10 08:30:00
340,240.9027808585386,2019-04-10 08:40:00
341,240.8475320732641,2019-04-10 08:50:00
342,240.81896758922883,2019-04-10 09:00:00
343,240.878769694082,2019-04-10 09:10:00
344,240.85591485059737,2019-04-10 09:20:00
345,240.8160901326158,2019-04-10 09:30:00
346,240.79665090913804,2019-04-10 09:40:00
347,240.7607935715881,2019-04-10 09:50:00
348,240.7415881712962,2019-04-10 10:00:00
349,240.72534270458303,2019-04-10 10:10:00
350,241.1629050488554,2019-04-10 10:20:00
351,241.45236039716,2019-04-10 10:30:00
352,241.86783015634109,2019-04-10 10:40:00
353,242.3456369901291,2019-04-10 10:50:00
354,242.76931136406952,2019-04-10 11:00:00
355,243.40887188315838,2019-04-10 11:10:00
356,244.1424294985405,2019-04-10 11:20:00
357,244.90333521036686,2019-04-10 11:30:00
358,245.21567827786689,2019-04-10 11:40:00
359,245.3872789028263,2019-04-10 11:50:00
