Time (DDDHHmm),Mean_temp (K)
1001000,240.8251736769954
1001010,240.81415645538928
1001020,240.79247328861308
1001030,240.7768690645458
1001040,240.76695050600418
1001050,240.75172529526606
1001100,240.74181872098154
1001110,240.73255092851753
1001120,240.72942209837237
1001130,240.71927850224543
1001140,240.7134840365549
1001150,240.70749949357514
1001200,240.70603152948055
1001210,240.7035301634221
1001220,240.7021085706187
1001230,240.6940005581931
1001240,240.69956886784465
1001250,240.7000151732662
1001300,240.69844101914032
1001310,240.70557053735598
1001320,240.7190721361807
1001330,240.73659141131392
1001340,240.7508766700651
1001350,240.77192258091398
1001400,240.79462962335265
1001410,240.81884220876992
1001420,240.83699269273788
1001430,240.86186090308266
1001440,240.8767657736809
1001450,240.89618133975213
1001500,240.91565424804287
1001510,240.9355477133444
1001520,240.94775851547521
1001530,240.96456498258516
1001540,240.97843734048843
1001550,240.98679962243781
1001600,241.0024734968551
1001610,241.01516687994155
1001620,241.02715588389788
1001630,241.04693174805283
1001640,241.0650897027868
1001650,241.08199607321555
1001700,241.08076578697913
1001710,241.09939337250663
1001720,241.1183321220203
1001730,241.13639388129698
1001740,241.15667040399782
1001750,241.17894723536483
1001800,241.20393649888024
1001810,241.22053804319103
1001820,241.25220160239982
1001830,241.2778000070133
1001840,241.3033699174375
1001850,241.33142127569505
1001900,241.35532225313202
1001910,241.38732642067816
1001920,241.4184331459075
1001930,241.44824358873066
1001940,241.47870342295033
1001950,241.51563121618975
1002000,241.55167931870267
1002010,241.58882236675544
1002020,241.62927491529888
1002030,241.6723241204705
1002040,241.71212118073987
1002050,241.7568058016579
1002100,241.7973671960938
1002110,241.83842478550656
1002120,241.87098455837784
1002130,241.91615095411757
1002140,241.9559324561185
1002150,241.9969896671665
1002200,242.04084290866695
1002210,242.08623682626492
1002220,242.1298432860412
1002230,242.17399073846448
1002240,242.22035703419013
1002250,242.2660441385613
1002300,242.31150846249088
1002310,242.35415702843963
1002320,242.3892464815448
1002330,242.44048666768762
1002340,242.48768243368224
1002350,242.5338085518426
1010000,242.577050822397
1010010,242.6184226601613
1010020,242.65791283605893
1010030,242.69581475769016
1010040,242.7376129383543
1010050,242.77724402506888
1010100,242.82043583925056
1010110,242.85518689395636
1010120,242.89454118634285
1010130,242.92882633655432
1010140,242.95999239817888
1010150,242.99807818931927
1010200,243.0244246492462
1010210,243.05176724402128
1010220,243.08122928402827
1010230,243.1044014047288
1010240,243.1366175212781
1010250,243.16137779739256
1010300,243.1900751904826
1010310,243.22531363324944
1010320,243.253212992625
1010330,243.28368388573523
1010340,243.31722645061498
1010350,243.3574144795303
1010400,243.39313934376597
1010410,243.42586966049984
1010420,243.47153907877345
1010430,243.50602348768248
1010440,243.53532202431654
1010450,243.55163808699197
1010500,243.65364233750705
1010510,243.68734465034532
1010520,243.68197406926188
1010530,243.69482546679743
1010540,243.7227220524156
1010550,243.74234182945833
1010600,243.76166266201258
1010610,243.78714958201277
1010620,243.80440244517658
1010630,243.8213513563835
1010640,243.83815045379626
1010650,243.85377075993918
1010700,243.86953508604412
1010710,243.8768376549497
1010720,243.8962556616719
1010730,243.91461179712303
1010740,243.93515055099414
1010750,243.9558223982907
1010800,243.97867703870986
1010810,244.00174351541128
1010820,244.01938993082274
1010830,244.04112168039603
1010840,244.0565616147855
1010850,244.08213362369264
1010900,244.09438534879354
1010910,244.11268486819932
1010920,244.13377530500375
1010930,244.1451625355436
1010940,244.16376590042282
1010950,244.18199916010954
1011000,244.19763312699897
1011010,244.21308367245885
1011020,244.21614187464368
1011030,244.23005118867778
1011040,244.24718147466183
1011050,244.27050879670392
1011100,244.27937020812536
1011110,244.29827803105948
1011120,244.31865993171007
1011130,244.33877589739254
1011140,244.35443860504498
1011150,244.37090100501632
1011200,244.38922832217668
1011210,244.4060096503734
1011220,244.4240226822103
1011230,244.44525217697222
1011240,244.4632171353351
1011250,244.48125234539228
1011300,244.4955096775546
1011310,244.5149964235095
1011320,244.53322665892756
1011330,244.55230230269694
1011340,244.5701272319995
1011350,244.5873778617157
1011400,244.6082009249551
1011410,244.62639683427582
1011420,244.64050858107834
1011430,244.66888005208276
1011440,244.69164653494883
1011450,244.71324902266915
1011500,244.73154915155627
1011510,244.75190751378946
1011520,244.76377011045028
1011530,244.78347623928065
1011540,244.79801590157527
1011550,244.8119936390824
1011600,244.82947274062144
1011610,244.84368944096184
1011620,244.85733961492076
1011630,244.87092459827653
1011640,244.88235352174175
1011650,244.89459922012273
1011700,244.88809984705333
1011710,244.89662605475925
1011720,244.90133733605242
1011730,244.90880292965454
1011740,244.91519604029057
1011750,244.91677166175765
1011800,244.91988178066958
1011810,244.9235523011105
1011820,244.92854806199688
1011830,244.92385746547254
1011840,244.93020468323763
1011850,244.93147613049916
1011900,244.93165396129825
1011910,244.9284739763791
1011920,244.9277983273534
1011930,244.92468113464707
1011940,244.92216874628295
1011950,244.91414766457294
1012000,244.910129365642
1012010,244.9019914336775
1012020,244.89648106314644
1012030,244.8857159554703
1012040,244.87414335544827
1012050,244.86008664447334
1012100,244.84423551721983
1012110,244.82597165079483
1012120,244.80892270540178
1012130,244.79484389456857
1012140,244.77869367518338
1012150,244.7661375360685
1012200,244.75242186439147
1012210,244.7339893716557
1012220,244.72328207284227
1012230,244.70852024112898
1012240,244.70552569060803
1012250,244.69120104990512
1012300,244.6898734422096
1012310,244.68224642170264
1012320,244.6707597426619
1012330,244.65913290235582
1012340,244.64798619900526
1012350,244.635553210734
1020000,244.62433112686946
1020010,244.61591550326204
1020020,244.6034952883263
1020030,244.5968064247915
1020040,244.5875936920017
1020050,244.57329526726298
1020100,244.56656921632646
1020110,244.5506251527502
1020120,244.53294737398915
1020130,244.52105496584113
1020140,244.51338614006497
1020150,244.50808236346936
1020200,244.49835879978735
1020210,244.4853854415117
1020220,244.4796852285395
1020230,244.4689535655026
1020240,244.46902027723343
1020250,244.46504404158568
1020300,244.4606771251478
1020310,244.46418856604646
1020320,244.4614570733357
1020330,244.4614309779548
1020340,244.4625038143256
1020350,244.47112905532543
1020400,244.47108264256474
1020410,244.4707258478316
1020420,244.47586658775094
1020430,244.47881755954256
1020440,244.49142688799043
1020450,244.47826621627013
1020500,244.53612445538047
1020510,244.5229391618905
1020520,244.5109302553133
1020530,244.50898609214562
1020540,244.511427222246
1020550,244.5159411408095
1020600,244.52508816217474
1020610,244.5312019257459
1020620,244.5371515798892
1020630,244.5388073036869
1020640,244.53753276329013
1020650,244.53320047580962
1020700,244.52845604217566
1020710,244.52222384569393
1020720,244.51355181345153
1020730,244.49785923205087
1020740,244.4876990470431
1020750,244.48337684275864
1020800,244.47603777360843
1020810,244.4634201172085
1020820,244.45941303164676
1020830,244.4552298790841
1020840,244.44758462365812
1020850,244.42818236091915
1020900,244.4155466227557
1020910,244.4014899701324
1020920,244.38817938487836
1020930,244.36718546648876
1020940,244.35436359509555
1020950,244.33968690950084
1021000,244.3298898019425
1021010,244.315558209676
1021020,244.30254568020806
1021030,244.2854341883964
1021040,244.27549522340607
1021050,244.25503099218452
1021100,244.23857444139236
1021110,244.22387675420669
1021120,244.20466799761343
1021130,244.18811282123244
1021140,244.16944531686414
1021150,244.1485967488552
1021200,244.13354402472973
1021210,244.11686419714977
1021220,244.1045795907246
1021230,244.09354459846418
1021240,244.08553205935854
1021250,244.0736071604711
1021300,244.07136931540626
1021310,244.07109600691825
1021320,244.07037289511288
1021330,244.07164832143593
1021340,244.07041844473886
1021350,244.0720582961056
1021400,244.07372959388812
1021410,244.07556048445628
1021420,244.07443573522758
1021430,244.07032165190003
1021440,244.0779981193854
1021450,244.07795540142027
1021500,244.07583100261823
1021510,244.0671220419576
1021520,244.0696270338351
1021530,244.06049661909472
1021540,244.05507657423757
1021550,244.0497659828778
1021600,244.04244369031875
1021610,244.0373750097191
1021620,244.0339757177267
1021630,244.03188979865732
1021640,244.03159994595367
1021650,244.0282385109486
1021700,244.01118661764716
1021710,244.0120326423238
1021720,244.01291560994446
1021730,244.0101788133061
1021740,244.00414717827258
1021750,244.0110304758256
1021800,244.00848410617218
1021810,244.00202728675407
1021820,244.00327592556974
1021830,244.0123080334427
1021840,244.01842149717822
1021850,244.01546534885668
1021900,244.01585436703385
1021910,244.02165072730486
1021920,244.02010847455313
1021930,244.02540315646263
1021940,244.02744866487316
1021950,244.0312987306551
1022000,244.03230469272157
1022010,244.037295421433
1022020,244.04226173139756
1022030,244.0423811417643
1022040,244.04728891805667
1022050,244.04819609896845
1022100,244.05186787446456
1022110,244.05664981010386
1022120,244.05990475713202
1022130,244.05990191168146
1022140,244.06218977652838
1022150,244.06485357039728
1022200,244.06676339675954
1022210,244.0668089386724
1022220,244.05941534523166
1022230,244.04646708530402
1022240,244.03925394810287
1022250,244.01654723451742
1022300,243.99521214394215
1022310,243.96329059258161
1022320,243.94064768845772
1022330,243.9100396449516
1022340,243.89471116887242
1022350,243.87337080829255
1030000,243.848355173154
1030010,243.82921443001752
1030020,243.80886759214752
1030030,243.78441918491995
1030040,243.7554457712335
1030050,243.72929638732793
1030100,243.70144433908038
1030110,243.68028293870225
1030120,243.6564900051794
1030130,243.63446681551304
1030140,243.6117392358891
1030150,243.58877433156286
1030200,243.57090301016552
1030210,243.5408222607109
1030220,243.51925428338254
1030230,243.49448828442607
1030240,243.47366485957122
1030250,243.45143220102196
1030300,243.43311523962174
1030310,243.413235182238
1030320,243.402095144818
1030330,243.38740432210494
1030340,243.37092476925142
1030350,243.3651489343919
1030400,243.35294690796096
1030410,243.34527743267594
1030420,243.3305654224648
1030430,243.3280910453878
1030440,243.32830273079483
1030450,243.31754519069082
1030500,243.32483080730748
1030510,243.3103554701896
1030520,243.29737235049348
1030530,243.2825344352233
1030540,243.266443189595
1030550,243.24546724295644
1030600,243.2144523790088
1030610,243.1826064124657
1030620,243.15069922190372
1030630,243.11237055929624
1030640,243.08183253033891
